informative_lh,prior,lh,left_pred,red_observation,run
True,0.6,0.7,0.5,False,63
False,0.7,0.5,32,False,63
True,0.6,0.3,0.5,True,64
False,0.3,0.6,0.5,True,64
True,0.5,0.9,0.5,False,65
False,0.3,0.5,0.5,False,65
True,0.5,0.8,48,True,66
False,0.8,0.4,0.5,False,66
True,0.5,0.7,0.5,False,67
False,0.1,0.5,51,False,67
True,0.6,0.1,47,True,68
False,0.7,0.6,0.5,True,68
True,0.5,0.8,90,False,69
False,0.3,0.4,0.5,False,69
True,0.5,0.7,67,False,70
False,0.1,0.5,0.5,True,70
True,0.6,0.2,0.5,True,71
False,0.9,0.5,80,False,71
True,0.4,0.2,42,False,72
False,0.2,0.5,0.5,False,72
True,0.5,0.8,0.5,True,73
False,0.1,0.5,0.5,True,73
True,0.5,0.7,0.5,True,74
False,0.1,0.5,0.5,False,74
True,0.5,0.9,49,False,75
False,0.3,0.5,0.5,True,75
True,0.6,0.3,0.5,True,76
False,0.9,0.5,34,False,76
True,0.5,0.9,06,False,77
False,0.1,0.5,0.5,False,77
True,0.6,0.1,69,False,78
False,0.8,0.6,0.5,True,78
True,0.6,0.8,84,False,79
False,0.3,0.5,0.5,True,79
True,0.5,0.2,0.5,True,80
False,0.3,0.5,31,True,80
True,0.5,0.9,0.5,False,81
False,0.8,0.5,0.5,True,81
True,0.4,0.1,65,True,82
False,0.3,0.4,0.5,False,82
True,0.5,0.7,58,True,83
False,0.2,0.5,0.5,False,83
True,0.5,0.2,64,False,84
False,0.9,0.5,0.5,False,84
True,0.5,0.9,34,False,85
False,0.8,0.5,95,True,85
True,0.4,0.8,18,True,86
False,0.8,0.5,0.5,False,86
True,0.4,0.8,77,True,87
False,0.7,0.4,0.5,True,87
True,0.5,0.2,0.5,False,88
False,0.2,0.4,67,True,88
True,0.4,0.8,38,True,89
False,0.7,0.5,0.5,True,89
True,0.5,0.1,0.5,False,90
False,0.3,0.4,76,True,90
True,0.6,0.7,83,False,91
False,0.9,0.5,0.5,True,91
True,0.6,0.9,75,False,92
False,0.3,0.5,57,False,92
True,0.5,0.3,0.5,True,93
False,0.1,0.5,0.5,False,93
True,0.6,0.9,64,True,94
False,0.7,0.5,0.5,False,94
True,0.4,0.7,71,False,95
False,0.8,0.5,0.5,True,95
True,0.5,0.7,0.5,True,96
False,0.7,0.6,0.5,False,96
True,0.4,0.9,0.5,False,97
False,0.2,0.5,0.5,True,97
True,0.6,0.7,0.5,True,98
False,0.8,0.5,0.5,False,98
True,0.5,0.3,22,False,99
False,0.7,0.6,0.5,True,99
True,0.4,0.7,64,False,100
False,0.8,0.4,53,False,100
True,0.5,0.3,02,False,101
False,0.1,0.5,0.5,False,101
True,0.5,0.2,0.5,True,102
False,0.7,0.5,0.5,False,102
True,0.5,0.3,0.5,True,103
False,0.7,0.4,27,False,103
True,0.5,0.9,0.5,False,104
False,0.8,0.5,52,True,104
True,0.4,0.2,0.5,True,105
False,0.7,0.5,83,False,105
True,0.6,0.7,0.5,False,106
False,0.3,0.5,0.5,True,106
True,0.5,0.7,98,True,107
False,0.8,0.5,0.5,False,107
True,0.5,0.1,33,True,108
False,0.8,0.4,0.5,False,108
True,0.5,0.1,20,False,109
False,0.2,0.5,0.5,True,109
True,0.5,0.8,43,True,110
False,0.8,0.5,0.5,False,110
True,0.4,0.3,0.5,False,111
False,0.2,0.4,0.5,False,111
True,0.5,0.3,28,False,112
False,0.1,0.6,0.5,True,112
True,0.5,0.3,0.5,True,113
False,0.1,0.5,0.5,True,113
True,0.5,0.9,0.5,False,114
False,0.8,0.4,93,False,114
True,0.4,0.2,22,True,115
False,0.9,0.4,51,False,115
True,0.5,0.7,0.3,True,116
False,0.8,0.4,0.5,False,116
True,0.6,0.7,0.5,True,117
False,0.3,0.6,0.5,False,117
True,0.4,0.7,21,False,118
False,0.8,0.5,0.5,False,118
True,0.5,0.7,0.5,False,119
False,0.7,0.5,0.5,True,119
True,0.5,0.7,20,False,120
False,0.8,0.4,58,False,120
True,0.4,0.9,0.5,True,121
False,0.2,0.6,59,True,121
True,0.5,0.2,0.5,False,122
False,0.9,0.6,16,True,122
True,0.4,0.7,24,True,123
False,0.7,0.6,41,True,123
True,0.5,0.8,0.5,False,124
False,0.2,0.5,12,True,124
True,0.6,0.1,46,True,125
False,0.3,0.5,0.5,False,125
True,0.5,0.8,66,False,126
False,0.1,0.6,56,False,126
True,0.6,0.9,0.5,False,127
False,0.1,0.5,0.0,False,127
True,0.4,0.9,0.5,False,128
False,0.8,0.6,0.5,True,128
True,0.6,0.2,0.5,True,129
False,0.2,0.5,0.5,True,129
True,0.6,0.7,0.5,True,130
False,0.2,0.5,51,True,130
True,0.6,0.1,92,False,131
False,0.2,0.5,0.5,False,131
True,0.5,0.1,0.5,True,132
False,0.8,0.6,0.0,True,132
True,0.5,0.1,0.5,True,133
False,0.3,0.5,0.5,False,133
True,0.5,0.9,0.5,False,134
False,0.1,0.5,0.5,True,134
True,0.5,0.9,86,False,135
False,0.8,0.4,0.5,False,135
True,0.4,0.7,0.5,True,136
False,0.8,0.5,0.5,True,136
True,0.4,0.7,93,False,137
False,0.9,0.5,0.5,True,137
True,0.4,0.1,10,False,138
False,0.1,0.4,35,True,138
True,0.5,0.3,0.5,True,139
False,0.9,0.5,48,False,139
True,0.5,0.9,0.5,False,140
False,0.8,0.5,53,True,140
True,0.4,0.9,12,False,141
False,0.3,0.6,70,False,141
True,0.5,0.2,0.5,True,142
False,0.8,0.5,0.5,False,142
True,0.5,0.9,0.5,True,143
False,0.1,0.4,0.5,True,143
True,0.5,0.2,0.5,False,144
False,0.8,0.6,0.5,False,144
True,0.4,0.1,0.5,True,145
False,0.2,0.5,45,True,145
True,0.5,0.9,0.0,True,146
False,0.2,0.4,18,True,146
True,0.5,0.2,0.5,True,147
False,0.2,0.4,0.5,True,147
True,0.4,0.3,71,True,148
False,0.3,0.4,0.5,False,148
True,0.4,0.2,0.0,False,149
False,0.1,0.4,0.5,True,149
True,0.5,0.1,0.5,False,150
False,0.2,0.4,0.5,True,150
True,0.5,0.9,84,False,151
False,0.9,0.5,23,False,151
True,0.6,0.1,63,False,152
False,0.3,0.4,47,True,152
True,0.4,0.2,0.5,False,153
False,0.9,0.6,37,False,153
True,0.5,0.1,65,False,154
False,0.2,0.4,0.5,False,154
True,0.6,0.9,0.5,False,155
False,0.2,0.5,0.5,False,155
True,0.4,0.8,0.5,False,156
False,0.8,0.5,0.5,True,156
True,0.5,0.7,0.5,False,157
False,0.8,0.5,90,False,157
True,0.6,0.3,0.5,False,158
False,0.7,0.5,0.5,True,158
True,0.6,0.7,34,False,159
False,0.8,0.5,88,False,159
True,0.5,0.8,52,False,160
False,0.3,0.5,0.5,True,160
True,0.5,0.8,0.5,True,161
False,0.8,0.5,0.5,True,161
True,0.5,0.8,0.5,False,162
False,0.3,0.4,0.5,True,162
True,0.6,0.8,89,False,163
False,0.3,0.5,74,False,163
True,0.5,0.8,0.5,False,164
False,0.7,0.5,0.0,True,164
True,0.4,0.7,89,False,165
False,0.7,0.5,0.5,True,165
True,0.6,0.3,0.5,False,166
False,0.7,0.5,0.5,True,166
True,0.5,0.1,56,True,167
False,0.7,0.6,0.5,False,167
True,0.5,0.3,52,False,168
False,0.7,0.4,22,False,168
True,0.4,0.3,0.5,False,169
False,0.2,0.5,0.5,True,169
True,0.6,0.8,0.5,True,170
False,0.8,0.6,49,False,170
True,0.4,0.2,0.5,False,171
False,0.9,0.6,26,False,171
True,0.5,0.8,32,True,172
False,0.7,0.5,0.5,False,172
True,0.6,0.2,0.5,True,173
False,0.8,0.4,12,False,173
True,0.4,0.3,28,False,174
False,0.2,0.5,0.5,False,174
True,0.5,0.1,0.0,True,175
False,0.8,0.6,15,False,175
True,0.5,0.9,0.5,True,176
False,0.9,0.4,72,False,176
True,0.6,0.8,62,True,177
False,0.3,0.4,0.5,True,177
True,0.5,0.7,0.0,True,178
False,0.1,0.5,36,True,178
True,0.5,0.2,0.5,False,179
False,0.2,0.4,0.5,True,179
True,0.4,0.1,0.5,True,180
False,0.3,0.6,0.5,True,180
True,0.5,0.9,0.5,True,181
False,0.1,0.6,0.5,False,181
True,0.6,0.2,0.5,True,182
False,0.3,0.4,0.5,False,182
True,0.4,0.8,56,True,183
False,0.7,0.6,21,False,183
True,0.4,0.9,0.0,True,184
False,0.7,0.6,07,False,184
True,0.5,0.1,0.5,False,185
False,0.9,0.5,0.0,False,185
True,0.5,0.9,0.5,True,186
False,0.3,0.5,15,False,186
True,0.5,0.9,0.5,False,187
False,0.7,0.4,66,True,187
True,0.4,0.7,74,True,188
False,0.2,0.5,0.5,False,188
True,0.6,0.8,07,True,189
False,0.3,0.5,78,True,189
True,0.5,0.8,0.5,True,190
False,0.1,0.6,87,False,190
True,0.5,0.2,02,False,191
False,0.3,0.5,0.5,True,191
True,0.5,0.9,0.5,True,192
False,0.1,0.6,0.5,True,192
True,0.5,0.1,0.5,True,193
False,0.9,0.4,17,False,193
True,0.6,0.8,50,False,194
False,0.3,0.6,0.5,False,194
True,0.4,0.9,23,False,195
False,0.3,0.4,0.5,False,195
True,0.6,0.8,0.0,True,196
False,0.2,0.4,0.5,True,196
True,0.5,0.7,86,False,197
False,0.1,0.4,0.5,True,197
True,0.5,0.1,0.5,True,198
False,0.7,0.5,0.5,False,198
True,0.5,0.7,09,True,199
False,0.7,0.4,0.5,False,199
