informative_lh,prior,lh,left_pred,red_observation,run
True,0.6,0.1,0.82,True,43
False,0.7,0.5,0.57,True,43
True,0.5,0.1,0.5,False,44
False,0.1,0.6,0.17,False,44
True,0.4,0.8,0.51,True,45
False,0.1,0.5,0.5,True,45
True,0.5,0.9,0.5,True,46
False,0.3,0.4,0.5,False,46
True,0.5,0.1,0.43,False,47
False,0.9,0.5,0.71,True,47
True,0.6,0.9,0.43,False,48
False,0.3,0.5,0.33,True,48
True,0.5,0.3,0.62,False,49
False,0.2,0.5,0.3,True,49
True,0.4,0.9,0.35,True,50
False,0.9,0.5,0.77,False,50
True,0.6,0.9,0.51,False,51
False,0.9,0.5,0.5,False,51
True,0.6,0.2,0.45,True,52
False,0.2,0.5,0.5,False,52
True,0.5,0.8,0.45,False,53
False,0.9,0.5,0.85,False,53
True,0.4,0.7,0.63,True,54
False,0.2,0.5,0.5,True,54
True,0.5,0.2,0.5,True,55
False,0.1,0.4,0.41,True,55
True,0.5,0.8,0.5,True,56
False,0.3,0.6,0.43,True,56
True,0.6,0.1,0.8,False,57
False,0.7,0.6,0.69,True,57
True,0.5,0.2,0.5,False,58
False,0.2,0.6,0.5,True,58
True,0.4,0.8,0.37,False,59
False,0.2,0.6,0.0,True,59
True,0.6,0.8,0.57,True,60
False,0.2,0.5,0.0,False,60
True,0.5,0.2,0.85,True,61
False,0.2,0.4,0.5,True,61
True,0.5,0.2,0.5,False,62
False,0.9,0.6,0.5,True,62
True,0.4,0.7,0.55,True,63
False,0.9,0.6,0.8,False,63
True,0.6,0.1,0.67,False,64
False,0.9,0.4,0.5,False,64
True,0.5,0.1,0.5,False,65
False,0.2,0.6,0.35,False,65
True,0.5,0.9,0.5,True,66
False,0.3,0.4,0.55,True,66
True,0.6,0.7,0.43,True,67
False,0.8,0.4,0.75,True,67
True,0.6,0.3,0.73,False,68
False,0.7,0.5,0.7,False,68
True,0.5,0.9,0.5,False,69
False,0.3,0.5,0.5,False,69
True,0.4,0.9,0.85,False,70
False,0.1,0.5,0.34,False,70
True,0.5,0.1,0.5,True,71
False,0.7,0.5,0.5,False,71
True,0.5,0.7,0.5,True,72
False,0.7,0.6,0.5,True,72
True,0.5,0.1,0.5,True,73
False,0.3,0.5,0.3,False,73
True,0.5,0.2,0.5,True,74
False,0.7,0.5,0.71,True,74
True,0.5,0.1,0.5,False,75
False,0.8,0.5,0.65,False,75
True,0.6,0.9,0.5,True,76
False,0.8,0.5,0.45,False,76
True,0.5,0.2,0.5,True,77
False,0.1,0.5,0.5,True,77
True,0.6,0.7,0.44,False,78
False,0.3,0.5,0.43,False,78
True,0.4,0.3,0.5,True,79
False,0.9,0.5,0.85,True,79
True,0.6,0.2,0.85,False,80
False,0.8,0.5,0.69,False,80
True,0.5,0.2,0.5,True,81
False,0.8,0.6,0.61,True,81
True,0.5,0.8,0.5,True,82
False,0.3,0.4,0.55,True,82
True,0.6,0.1,0.67,False,83
False,0.2,0.6,0.61,True,83
True,0.6,0.9,0.4,False,84
False,0.2,0.6,0.5,False,84
True,0.4,0.3,0.41,False,85
False,0.3,0.6,0.35,False,85
True,0.5,0.1,0.5,True,86
False,0.9,0.4,0.64,False,86
True,0.4,0.7,0.56,True,87
False,0.1,0.4,0.41,True,87
True,0.5,0.9,0.5,True,88
False,0.1,0.4,0.5,True,88
True,0.5,0.8,0.5,False,89
False,0.2,0.5,0.2,False,89
True,0.6,0.7,0.67,False,90
False,0.1,0.5,0.5,False,90
True,0.5,0.1,0.43,True,91
False,0.7,0.4,0.41,False,91
True,0.5,0.9,0.5,False,92
False,0.3,0.4,0.51,True,92
True,0.5,0.2,0.0,False,93
False,0.8,0.6,0.84,True,93
True,0.4,0.3,0.71,True,94
False,0.7,0.4,0.5,True,94
True,0.5,0.1,0.5,True,95
False,0.1,0.5,0.0,True,95
True,0.5,0.2,0.5,True,96
False,0.9,0.4,0.84,False,96
True,0.5,0.7,0.5,True,97
False,0.3,0.4,0.5,False,97
True,0.5,0.1,0.5,True,98
False,0.9,0.5,0.5,False,98
True,0.5,0.1,0.45,True,99
False,0.2,0.4,0.35,True,99
True,0.4,0.3,0.44,True,100
False,0.8,0.5,0.5,True,100
True,0.5,0.7,0.5,True,101
False,0.8,0.5,0.5,True,101
True,0.5,0.9,0.5,False,102
False,0.8,0.6,0.83,True,102
True,0.5,0.9,0.8,True,103
False,0.3,0.6,0.7,False,103
True,0.6,0.2,0.7,False,104
False,0.3,0.5,0.41,False,104
True,0.4,0.9,0.25,False,105
False,0.3,0.5,0.29,False,105
True,0.5,0.2,0.5,False,106
False,0.7,0.5,0.55,True,106
True,0.4,0.3,0.61,False,107
False,0.8,0.4,0.5,False,107
True,0.6,0.2,0.85,True,108
False,0.1,0.5,0.5,False,108
True,0.5,0.1,0.5,False,109
False,0.8,0.4,0.5,False,109
True,0.5,0.8,0.67,False,110
False,0.7,0.5,0.69,True,110
True,0.5,0.8,0.34,False,111
False,0.3,0.4,0.61,True,111
True,0.6,0.2,0.5,True,112
False,0.2,0.5,0.5,False,112
True,0.5,0.7,0.85,True,113
False,0.7,0.4,0.63,False,113
True,0.5,0.3,0.5,True,114
False,0.1,0.5,0.14,False,114
True,0.5,0.1,0.5,False,115
False,0.8,0.5,0.85,True,115
True,0.5,0.9,0.5,True,116
False,0.2,0.4,0.5,True,116
True,0.5,0.8,0.4,False,117
False,0.2,0.6,0.5,False,117
True,0.5,0.2,0.5,True,118
False,0.2,0.6,0.43,False,118
True,0.5,0.9,0.5,True,119
False,0.7,0.5,0.5,False,119
True,0.5,0.2,0.0,True,120
False,0.3,0.5,0.55,False,120
True,0.5,0.3,0.65,True,121
False,0.2,0.5,0.5,True,121
True,0.6,0.3,0.71,False,122
False,0.3,0.5,0.67,True,122
True,0.6,0.1,0.5,False,123
False,0.2,0.5,0.5,False,123
True,0.4,0.9,0.33,False,124
False,0.2,0.6,0.33,False,124
True,0.6,0.9,0.5,False,125
False,0.1,0.5,0.0,True,125
True,0.6,0.8,0.45,False,126
False,0.7,0.6,0.71,True,126
True,0.5,0.8,0.35,False,127
False,0.9,0.5,0.85,True,127
True,0.4,0.9,0.0,True,128
False,0.8,0.5,0.5,False,128
True,0.5,0.8,0.5,True,129
False,0.8,0.5,0.5,False,129
True,0.4,0.9,0.37,False,130
False,0.7,0.4,0.67,True,130
True,0.6,0.7,0.64,True,131
False,0.7,0.6,0.71,False,131
True,0.4,0.1,0.7,True,132
False,0.1,0.5,0.17,False,132
True,0.4,0.3,0.35,False,133
False,0.8,0.6,0.58,True,133
True,0.4,0.7,0.0,False,134
False,0.7,0.6,0.72,True,134
True,0.5,0.7,0.5,False,135
False,0.1,0.4,0.5,True,135
True,0.5,0.7,0.55,False,136
False,0.9,0.5,0.85,False,136
True,0.5,0.1,0.5,False,137
False,0.3,0.5,0.5,True,137
True,0.5,0.1,0.5,False,138
False,0.2,0.5,0.5,False,138
True,0.4,0.9,0.0,False,139
False,0.1,0.5,0.5,False,139
True,0.6,0.1,0.7,True,140
False,0.1,0.5,0.5,True,140
True,0.5,0.7,0.5,False,141
False,0.3,0.6,0.55,False,141
True,0.5,0.3,0.5,False,142
False,0.8,0.5,0.85,True,142
True,0.5,0.2,0.5,True,143
False,0.7,0.5,0.63,False,143
True,0.5,0.8,0.5,True,144
False,0.2,0.4,0.5,True,144
True,0.5,0.2,0.85,True,145
False,0.7,0.6,0.5,True,145
True,0.4,0.1,0.5,False,146
False,0.3,0.5,0.34,True,146
True,0.4,0.3,0.44,True,147
False,0.3,0.5,0.33,True,147
True,0.5,0.2,0.5,False,148
False,0.9,0.5,0.85,True,148
True,0.6,0.9,0.5,False,149
False,0.2,0.5,0.0,True,149
True,0.6,0.7,0.75,True,150
False,0.7,0.5,0.77,True,150
True,0.6,0.3,0.75,True,151
False,0.8,0.5,0.85,False,151
True,0.4,0.3,0.45,False,152
False,0.3,0.4,0.35,True,152
True,0.4,0.8,0.7,True,153
False,0.9,0.6,0.5,True,153
True,0.5,0.7,0.67,False,154
False,0.9,0.6,0.43,True,154
True,0.5,0.2,0.5,True,155
False,0.8,0.4,0.73,True,155
True,0.4,0.2,0.7,True,156
False,0.3,0.4,0.67,True,156
True,0.5,0.9,0.5,True,157
False,0.9,0.4,0.8,False,157
True,0.4,0.3,0.71,False,158
False,0.2,0.6,0.5,False,158
True,0.5,0.2,0.5,False,159
False,0.7,0.4,0.69,True,159
True,0.6,0.9,0.8,False,160
False,0.3,0.5,0.41,False,160
True,0.6,0.8,0.85,False,161
False,0.1,0.6,0.11,False,161
True,0.5,0.1,0.5,True,162
False,0.1,0.6,0.21,False,162
True,0.5,0.1,0.45,True,163
False,0.2,0.5,0.5,False,163
True,0.5,0.2,0.5,False,164
False,0.3,0.5,0.4,False,164
True,0.6,0.1,0.5,False,165
False,0.7,0.5,0.71,True,165
True,0.6,0.9,0.7,True,166
False,0.2,0.4,0.33,False,166
True,0.5,0.8,0.45,False,167
False,0.1,0.4,0.45,True,167
True,0.4,0.8,0.85,False,168
False,0.2,0.5,0.5,True,168
True,0.5,0.9,0.5,False,169
False,0.1,0.6,0.33,False,169
True,0.5,0.2,0.45,True,170
False,0.3,0.5,0.34,False,170
True,0.5,0.7,0.43,True,171
False,0.7,0.5,0.66,True,171
True,0.5,0.8,0.5,True,172
False,0.7,0.4,0.45,False,172
True,0.6,0.2,0.69,True,173
False,0.7,0.6,0.67,False,173
True,0.5,0.3,0.5,False,174
False,0.7,0.4,0.67,False,174
True,0.6,0.2,0.55,False,175
False,0.3,0.4,0.61,True,175
True,0.5,0.8,0.5,True,176
False,0.8,0.5,0.65,True,176
True,0.4,0.7,0.43,True,177
False,0.3,0.5,0.53,True,177
True,0.6,0.8,0.33,True,178
False,0.2,0.5,0.5,False,178
True,0.5,0.3,0.5,False,179
False,0.8,0.5,0.5,True,179
True,0.4,0.1,0.5,True,180
False,0.2,0.5,0.5,False,180
True,0.5,0.8,0.5,False,181
False,0.3,0.6,0.43,True,181
True,0.5,0.1,0.55,True,182
False,0.8,0.5,0.8,False,182
True,0.6,0.8,0.65,True,183
False,0.8,0.6,0.5,False,183
True,0.5,0.1,0.5,True,184
False,0.3,0.6,0.5,False,184
True,0.5,0.2,0.5,False,185
False,0.8,0.6,0.78,True,185
True,0.5,0.9,0.5,False,186
False,0.8,0.5,0.84,True,186
True,0.6,0.9,0.67,False,187
False,0.7,0.6,0.7,True,187
True,0.6,0.2,0.65,False,188
False,0.9,0.4,0.5,True,188
True,0.4,0.1,0.45,False,189
False,0.1,0.5,0.5,True,189
True,0.4,0.2,0.75,False,190
False,0.9,0.6,0.0,False,190
True,0.4,0.3,0.43,False,191
False,0.7,0.6,0.61,False,191
True,0.5,0.1,0.0,True,192
False,0.3,0.5,0.5,True,192
True,0.4,0.9,0.5,False,193
False,0.2,0.5,0.5,False,193
True,0.6,0.9,0.55,True,194
False,0.1,0.5,0.11,False,194
True,0.6,0.9,0.5,True,195
False,0.8,0.5,0.8,False,195
True,0.4,0.7,0.28,False,196
False,0.8,0.6,0.56,False,196
True,0.4,0.8,0.5,False,197
False,0.2,0.5,0.5,True,197
True,0.5,0.7,0.5,True,198
False,0.2,0.6,0.43,True,198
True,0.6,0.8,0.66,True,199
False,0.7,0.5,0.66,False,199
