trial,task,mean0,mean1,reward0,reward1,choice,reward,run
76,4,0.75,0.25,1.0,0.0,1,0.0,0
77,4,0.75,0.75,1.0,1.0,1,1.0,0
77,2,0.75,0.75,1.0,1.0,1,1.0,0
78,2,0.25,0.75,0.0,1.0,0,0.0,0
78,1,0.25,0.75,0.0,1.0,0,0.0,0
79,1,0.25,0.25,1.0,0.0,0,1.0,0
79,1,0.25,0.25,1.0,0.0,0,1.0,0
80,1,0.25,0.25,0.0,0.0,1,0.0,0
80,2,0.25,0.25,0.0,0.0,1,0.0,0
81,2,0.25,0.75,0.0,0.0,0,0.0,0
81,2,0.25,0.75,0.0,0.0,0,0.0,0
82,2,0.25,0.75,0.0,1.0,1,1.0,0
82,3,0.25,0.75,0.0,1.0,1,1.0,0
83,3,0.75,0.25,0.0,0.0,1,0.0,0
83,3,0.75,0.25,0.0,0.0,1,0.0,0
84,3,0.75,0.25,1.0,0.0,0,1.0,0
84,4,0.75,0.25,1.0,0.0,0,1.0,0
85,4,0.75,0.75,0.0,1.0,0,0.0,0
85,1,0.75,0.75,0.0,1.0,0,0.0,0
86,1,0.25,0.25,0.0,0.0,1,0.0,0
86,3,0.25,0.25,0.0,0.0,1,0.0,0
87,3,0.75,0.25,1.0,0.0,1,0.0,0
87,4,0.75,0.25,1.0,0.0,1,0.0,0
88,4,0.75,0.75,1.0,1.0,0,1.0,0
88,3,0.75,0.75,1.0,1.0,0,1.0,0
89,3,0.75,0.25,0.0,0.0,0,0.0,0
89,3,0.75,0.25,0.0,0.0,0,0.0,0
90,3,0.75,0.25,1.0,0.0,0,1.0,0
90,2,0.75,0.25,1.0,0.0,0,1.0,0
91,2,0.25,0.75,1.0,1.0,0,1.0,0
91,2,0.25,0.75,1.0,1.0,0,1.0,0
92,2,0.25,0.75,0.0,1.0,1,1.0,0
92,2,0.25,0.75,0.0,1.0,1,1.0,0
93,2,0.25,0.75,0.0,1.0,1,1.0,0
93,4,0.25,0.75,0.0,1.0,1,1.0,0
94,4,0.75,0.75,1.0,1.0,0,1.0,0
94,4,0.75,0.75,1.0,1.0,0,1.0,0
95,4,0.75,0.75,1.0,1.0,0,1.0,0
95,4,0.75,0.75,1.0,1.0,0,1.0,0
0,2,0.25,0.75,0.0,1.0,0,0.0,1
0,2,0.25,0.75,0.0,1.0,0,0.0,1
1,2,0.25,0.75,0.0,1.0,0,0.0,1
1,1,0.25,0.75,0.0,1.0,0,0.0,1
2,1,0.25,0.25,1.0,0.0,1,0.0,1
2,1,0.25,0.25,1.0,0.0,1,0.0,1
3,1,0.25,0.25,0.0,1.0,0,0.0,1
3,2,0.25,0.25,0.0,1.0,0,0.0,1
4,2,0.25,0.75,0.0,0.0,1,0.0,1
4,2,0.25,0.75,0.0,0.0,1,0.0,1
5,2,0.25,0.75,0.0,1.0,0,0.0,1
5,3,0.25,0.75,0.0,1.0,0,0.0,1
6,3,0.75,0.25,1.0,0.0,0,1.0,1
6,3,0.75,0.25,1.0,0.0,0,1.0,1
7,3,0.75,0.25,1.0,1.0,0,1.0,1
7,3,0.75,0.25,1.0,1.0,0,1.0,1
8,3,0.75,0.25,1.0,0.0,1,0.0,1
8,4,0.75,0.25,1.0,0.0,1,0.0,1
9,4,0.75,0.75,0.0,1.0,0,0.0,1
9,3,0.75,0.75,0.0,1.0,0,0.0,1
10,3,0.75,0.25,0.0,1.0,0,0.0,1
10,1,0.75,0.25,0.0,1.0,0,0.0,1
11,1,0.25,0.25,0.0,1.0,0,0.0,1
11,4,0.25,0.25,0.0,1.0,0,0.0,1
12,4,0.75,0.75,0.0,1.0,0,0.0,1
12,2,0.75,0.75,0.0,1.0,0,0.0,1
13,2,0.25,0.75,0.0,1.0,1,1.0,1
13,2,0.25,0.75,0.0,1.0,1,1.0,1
14,2,0.25,0.75,0.0,1.0,1,1.0,1
14,2,0.25,0.75,0.0,1.0,1,1.0,1
15,2,0.25,0.75,0.0,1.0,1,1.0,1
15,3,0.25,0.75,0.0,1.0,1,1.0,1
16,3,0.75,0.25,1.0,0.0,1,0.0,1
16,4,0.75,0.25,1.0,0.0,1,0.0,1
17,4,0.75,0.75,0.0,0.0,0,0.0,1
17,3,0.75,0.75,0.0,0.0,0,0.0,1
18,3,0.75,0.25,1.0,0.0,0,1.0,1
18,1,0.75,0.25,1.0,0.0,0,1.0,1
19,1,0.25,0.25,0.0,0.0,0,0.0,1
19,1,0.25,0.25,0.0,0.0,0,0.0,1
20,1,0.25,0.25,1.0,0.0,1,0.0,1
20,4,0.25,0.25,1.0,0.0,1,0.0,1
21,4,0.75,0.75,1.0,1.0,1,1.0,1
21,1,0.75,0.75,1.0,1.0,1,1.0,1
22,1,0.25,0.25,0.0,1.0,0,0.0,1
22,4,0.25,0.25,0.0,1.0,0,0.0,1
23,4,0.75,0.75,1.0,1.0,0,1.0,1
23,2,0.75,0.75,1.0,1.0,0,1.0,1
24,2,0.25,0.75,0.0,0.0,1,0.0,1
24,1,0.25,0.75,0.0,0.0,1,0.0,1
25,1,0.25,0.25,0.0,1.0,0,0.0,1
25,4,0.25,0.25,0.0,1.0,0,0.0,1
26,4,0.75,0.75,1.0,1.0,1,1.0,1
26,2,0.75,0.75,1.0,1.0,1,1.0,1
27,2,0.25,0.75,1.0,1.0,0,1.0,1
27,3,0.25,0.75,1.0,1.0,0,1.0,1
28,3,0.75,0.25,1.0,1.0,0,1.0,1
28,4,0.75,0.25,1.0,1.0,0,1.0,1
29,4,0.75,0.75,0.0,1.0,1,1.0,1
29,2,0.75,0.75,0.0,1.0,1,1.0,1
30,2,0.25,0.75,0.0,1.0,1,1.0,1
30,2,0.25,0.75,0.0,1.0,1,1.0,1
31,2,0.25,0.75,0.0,1.0,0,0.0,1
31,2,0.25,0.75,0.0,1.0,0,0.0,1
32,2,0.25,0.75,0.0,1.0,0,0.0,1
32,2,0.25,0.75,0.0,1.0,0,0.0,1
33,2,0.25,0.75,0.0,1.0,0,0.0,1
33,1,0.25,0.75,0.0,1.0,0,0.0,1
34,1,0.25,0.25,1.0,0.0,1,0.0,1
34,3,0.25,0.25,1.0,0.0,1,0.0,1
35,3,0.75,0.25,1.0,0.0,0,1.0,1
35,3,0.75,0.25,1.0,0.0,0,1.0,1
36,3,0.75,0.25,1.0,0.0,1,0.0,1
36,1,0.75,0.25,1.0,0.0,1,0.0,1
37,1,0.25,0.25,0.0,0.0,1,0.0,1
37,1,0.25,0.25,0.0,0.0,1,0.0,1
38,1,0.25,0.25,0.0,1.0,0,0.0,1
38,1,0.25,0.25,0.0,1.0,0,0.0,1
39,1,0.25,0.25,0.0,1.0,1,1.0,1
39,3,0.25,0.25,0.0,1.0,1,1.0,1
40,3,0.75,0.25,1.0,0.0,0,1.0,1
40,4,0.75,0.25,1.0,0.0,0,1.0,1
41,4,0.75,0.75,1.0,1.0,0,1.0,1
41,1,0.75,0.75,1.0,1.0,0,1.0,1
42,1,0.25,0.25,0.0,0.0,0,0.0,1
42,2,0.25,0.25,0.0,0.0,0,0.0,1
43,2,0.25,0.75,0.0,1.0,1,1.0,1
43,1,0.25,0.75,0.0,1.0,1,1.0,1
44,1,0.25,0.25,0.0,0.0,1,0.0,1
44,3,0.25,0.25,0.0,0.0,1,0.0,1
45,3,0.75,0.25,1.0,0.0,1,0.0,1
45,2,0.75,0.25,1.0,0.0,1,0.0,1
46,2,0.25,0.75,0.0,1.0,1,1.0,1
46,4,0.25,0.75,0.0,1.0,1,1.0,1
47,4,0.75,0.75,1.0,1.0,1,1.0,1
47,3,0.75,0.75,1.0,1.0,1,1.0,1
48,3,0.75,0.25,1.0,0.0,0,1.0,1
48,3,0.75,0.25,1.0,0.0,0,1.0,1
49,3,0.75,0.25,1.0,0.0,0,1.0,1
49,2,0.75,0.25,1.0,0.0,0,1.0,1
50,2,0.25,0.75,1.0,1.0,1,1.0,1
50,4,0.25,0.75,1.0,1.0,1,1.0,1
51,4,0.75,0.75,0.0,1.0,0,0.0,1
51,4,0.75,0.75,0.0,1.0,0,0.0,1
52,4,0.75,0.75,0.0,1.0,0,0.0,1
52,3,0.75,0.75,0.0,1.0,0,0.0,1
53,3,0.75,0.25,1.0,1.0,1,1.0,1
53,2,0.75,0.25,1.0,1.0,1,1.0,1
54,2,0.25,0.75,0.0,1.0,0,0.0,1
54,4,0.25,0.75,0.0,1.0,0,0.0,1
55,4,0.75,0.75,0.0,1.0,1,1.0,1
55,4,0.75,0.75,0.0,1.0,1,1.0,1
56,4,0.75,0.75,1.0,1.0,1,1.0,1
56,4,0.75,0.75,1.0,1.0,1,1.0,1
57,4,0.75,0.75,1.0,1.0,0,1.0,1
57,1,0.75,0.75,1.0,1.0,0,1.0,1
58,1,0.25,0.25,0.0,0.0,1,0.0,1
58,1,0.25,0.25,0.0,0.0,1,0.0,1
59,1,0.25,0.25,1.0,0.0,0,1.0,1
59,3,0.25,0.25,1.0,0.0,0,1.0,1
60,3,0.75,0.25,1.0,0.0,0,1.0,1
60,3,0.75,0.25,1.0,0.0,0,1.0,1
61,3,0.75,0.25,1.0,0.0,1,0.0,1
61,2,0.75,0.25,1.0,0.0,1,0.0,1
62,2,0.25,0.75,0.0,1.0,0,0.0,1
62,2,0.25,0.75,0.0,1.0,0,0.0,1
63,2,0.25,0.75,1.0,1.0,1,1.0,1
63,4,0.25,0.75,1.0,1.0,1,1.0,1
64,4,0.75,0.75,1.0,1.0,1,1.0,1
64,4,0.75,0.75,1.0,1.0,1,1.0,1
65,4,0.75,0.75,1.0,1.0,1,1.0,1
65,2,0.75,0.75,1.0,1.0,1,1.0,1
66,2,0.25,0.75,0.0,1.0,0,0.0,1
66,3,0.25,0.75,0.0,1.0,0,0.0,1
67,3,0.75,0.25,1.0,0.0,0,1.0,1
67,1,0.75,0.25,1.0,0.0,0,1.0,1
68,1,0.25,0.25,0.0,0.0,0,0.0,1
68,3,0.25,0.25,0.0,0.0,0,0.0,1
69,3,0.75,0.25,1.0,0.0,0,1.0,1
69,1,0.75,0.25,1.0,0.0,0,1.0,1
70,1,0.25,0.25,1.0,0.0,0,1.0,1
70,1,0.25,0.25,1.0,0.0,0,1.0,1
71,1,0.25,0.25,1.0,0.0,0,1.0,1
71,1,0.25,0.25,1.0,0.0,0,1.0,1
72,1,0.25,0.25,0.0,1.0,0,0.0,1
72,4,0.25,0.25,0.0,1.0,0,0.0,1
73,4,0.75,0.75,1.0,0.0,1,0.0,1
73,3,0.75,0.75,1.0,0.0,1,0.0,1
74,3,0.75,0.25,1.0,1.0,1,1.0,1
74,1,0.75,0.25,1.0,1.0,1,1.0,1
75,1,0.25,0.25,0.0,1.0,0,0.0,1
75,4,0.25,0.25,0.0,1.0,0,0.0,1
76,4,0.75,0.75,1.0,1.0,1,1.0,1
76,3,0.75,0.75,1.0,1.0,1,1.0,1
77,3,0.75,0.25,1.0,0.0,1,0.0,1
77,1,0.75,0.25,1.0,0.0,1,0.0,1
78,1,0.25,0.25,0.0,1.0,0,0.0,1
78,2,0.25,0.25,0.0,1.0,0,0.0,1
79,2,0.25,0.75,0.0,1.0,0,0.0,1
79,3,0.25,0.75,0.0,1.0,0,0.0,1
80,3,0.75,0.25,1.0,0.0,0,1.0,1
80,4,0.75,0.25,1.0,0.0,0,1.0,1
81,4,0.75,0.75,1.0,1.0,0,1.0,1
81,1,0.75,0.75,1.0,1.0,0,1.0,1
82,1,0.25,0.25,0.0,0.0,0,0.0,1
82,4,0.25,0.25,0.0,0.0,0,0.0,1
83,4,0.75,0.75,0.0,1.0,1,1.0,1
83,2,0.75,0.75,0.0,1.0,1,1.0,1
84,2,0.25,0.75,0.0,1.0,1,1.0,1
84,3,0.25,0.75,0.0,1.0,1,1.0,1
85,3,0.75,0.25,1.0,0.0,1,0.0,1
85,4,0.75,0.25,1.0,0.0,1,0.0,1
86,4,0.75,0.75,0.0,1.0,0,0.0,1
86,4,0.75,0.75,0.0,1.0,0,0.0,1
87,4,0.75,0.75,1.0,1.0,1,1.0,1
87,2,0.75,0.75,1.0,1.0,1,1.0,1
88,2,0.25,0.75,1.0,1.0,1,1.0,1
88,3,0.25,0.75,1.0,1.0,1,1.0,1
89,3,0.75,0.25,1.0,0.0,0,1.0,1
89,1,0.75,0.25,1.0,0.0,0,1.0,1
90,1,0.25,0.25,0.0,1.0,0,0.0,1
90,4,0.25,0.25,0.0,1.0,0,0.0,1
91,4,0.75,0.75,1.0,0.0,0,1.0,1
91,1,0.75,0.75,1.0,0.0,0,1.0,1
92,1,0.25,0.25,0.0,1.0,0,0.0,1
92,3,0.25,0.25,0.0,1.0,0,0.0,1
93,3,0.75,0.25,0.0,0.0,1,0.0,1
93,4,0.75,0.25,0.0,0.0,1,0.0,1
94,4,0.75,0.75,0.0,1.0,0,0.0,1
94,2,0.75,0.75,0.0,1.0,0,0.0,1
95,2,0.25,0.75,1.0,0.0,1,0.0,1
95,2,0.25,0.75,1.0,0.0,1,0.0,1
0,1,0.25,0.25,0.0,0.0,0,0.0,2
0,4,0.25,0.25,0.0,0.0,0,0.0,2
1,4,0.75,0.75,0.0,1.0,1,1.0,2
1,4,0.75,0.75,0.0,1.0,1,1.0,2
2,4,0.75,0.75,0.0,1.0,0,0.0,2
2,1,0.75,0.75,0.0,1.0,0,0.0,2
3,1,0.25,0.25,0.0,0.0,0,0.0,2
3,2,0.25,0.25,0.0,0.0,0,0.0,2
4,2,0.25,0.75,0.0,1.0,1,1.0,2
4,4,0.25,0.75,0.0,1.0,1,1.0,2
5,4,0.75,0.75,0.0,0.0,1,0.0,2
5,2,0.75,0.75,0.0,0.0,1,0.0,2
6,2,0.25,0.75,1.0,1.0,1,1.0,2
6,2,0.25,0.75,1.0,1.0,1,1.0,2
7,2,0.25,0.75,0.0,1.0,0,0.0,2
7,3,0.25,0.75,0.0,1.0,0,0.0,2
8,3,0.75,0.25,1.0,0.0,1,0.0,2
8,2,0.75,0.25,1.0,0.0,1,0.0,2
9,2,0.25,0.75,0.0,0.0,1,0.0,2
9,3,0.25,0.75,0.0,0.0,1,0.0,2
10,3,0.75,0.25,1.0,0.0,0,1.0,2
10,2,0.75,0.25,1.0,0.0,0,1.0,2
11,2,0.25,0.75,1.0,1.0,0,1.0,2
11,2,0.25,0.75,1.0,1.0,0,1.0,2
12,2,0.25,0.75,0.0,1.0,0,0.0,2
12,3,0.25,0.75,0.0,1.0,0,0.0,2
13,3,0.75,0.25,1.0,1.0,1,1.0,2
13,2,0.75,0.25,1.0,1.0,1,1.0,2
14,2,0.25,0.75,0.0,0.0,1,0.0,2
14,3,0.25,0.75,0.0,0.0,1,0.0,2
15,3,0.75,0.25,0.0,0.0,1,0.0,2
15,1,0.75,0.25,0.0,0.0,1,0.0,2
16,1,0.25,0.25,1.0,0.0,1,0.0,2
16,1,0.25,0.25,1.0,0.0,1,0.0,2
17,1,0.25,0.25,1.0,0.0,1,0.0,2
17,3,0.25,0.25,1.0,0.0,1,0.0,2
18,3,0.75,0.25,0.0,0.0,1,0.0,2
18,4,0.75,0.25,0.0,0.0,1,0.0,2
19,4,0.75,0.75,1.0,1.0,1,1.0,2
19,4,0.75,0.75,1.0,1.0,1,1.0,2
20,4,0.75,0.75,1.0,1.0,1,1.0,2
20,3,0.75,0.75,1.0,1.0,1,1.0,2
21,3,0.75,0.25,1.0,1.0,1,1.0,2
21,4,0.75,0.25,1.0,1.0,1,1.0,2
22,4,0.75,0.75,1.0,1.0,0,1.0,2
22,3,0.75,0.75,1.0,1.0,0,1.0,2
23,3,0.75,0.25,1.0,0.0,1,0.0,2
23,2,0.75,0.25,1.0,0.0,1,0.0,2
24,2,0.25,0.75,0.0,1.0,1,1.0,2
24,4,0.25,0.75,0.0,1.0,1,1.0,2
25,4,0.75,0.75,1.0,1.0,0,1.0,2
25,2,0.75,0.75,1.0,1.0,0,1.0,2
26,2,0.25,0.75,0.0,0.0,1,0.0,2
26,3,0.25,0.75,0.0,0.0,1,0.0,2
27,3,0.75,0.25,1.0,0.0,1,0.0,2
27,1,0.75,0.25,1.0,0.0,1,0.0,2
28,1,0.25,0.25,0.0,0.0,1,0.0,2
28,2,0.25,0.25,0.0,0.0,1,0.0,2
29,2,0.25,0.75,0.0,1.0,1,1.0,2
29,1,0.25,0.75,0.0,1.0,1,1.0,2
30,1,0.25,0.25,0.0,1.0,1,1.0,2
30,3,0.25,0.25,0.0,1.0,1,1.0,2
31,3,0.75,0.25,1.0,0.0,1,0.0,2
31,2,0.75,0.25,1.0,0.0,1,0.0,2
32,2,0.25,0.75,1.0,1.0,1,1.0,2
32,4,0.25,0.75,1.0,1.0,1,1.0,2
33,4,0.75,0.75,1.0,1.0,0,1.0,2
33,4,0.75,0.75,1.0,1.0,0,1.0,2
34,4,0.75,0.75,0.0,1.0,0,0.0,2
34,3,0.75,0.75,0.0,1.0,0,0.0,2
35,3,0.75,0.25,1.0,1.0,1,1.0,2
35,1,0.75,0.25,1.0,1.0,1,1.0,2
36,1,0.25,0.25,1.0,0.0,1,0.0,2
36,3,0.25,0.25,1.0,0.0,1,0.0,2
37,3,0.75,0.25,1.0,0.0,1,0.0,2
37,4,0.75,0.25,1.0,0.0,1,0.0,2
38,4,0.75,0.75,0.0,1.0,1,1.0,2
38,4,0.75,0.75,0.0,1.0,1,1.0,2
39,4,0.75,0.75,1.0,0.0,0,1.0,2
39,2,0.75,0.75,1.0,0.0,0,1.0,2
40,2,0.25,0.75,0.0,0.0,1,0.0,2
40,4,0.25,0.75,0.0,0.0,1,0.0,2
41,4,0.75,0.75,1.0,1.0,1,1.0,2
41,3,0.75,0.75,1.0,1.0,1,1.0,2
42,3,0.75,0.25,1.0,1.0,0,1.0,2
42,1,0.75,0.25,1.0,1.0,0,1.0,2
43,1,0.25,0.25,1.0,0.0,1,0.0,2
43,2,0.25,0.25,1.0,0.0,1,0.0,2
44,2,0.25,0.75,0.0,1.0,0,0.0,2
44,2,0.25,0.75,0.0,1.0,0,0.0,2
45,2,0.25,0.75,0.0,0.0,1,0.0,2
45,3,0.25,0.75,0.0,0.0,1,0.0,2
46,3,0.75,0.25,1.0,0.0,1,0.0,2
46,2,0.75,0.25,1.0,0.0,1,0.0,2
47,2,0.25,0.75,0.0,1.0,0,0.0,2
47,2,0.25,0.75,0.0,1.0,0,0.0,2
48,2,0.25,0.75,0.0,1.0,1,1.0,2
48,2,0.25,0.75,0.0,1.0,1,1.0,2
49,2,0.25,0.75,1.0,1.0,1,1.0,2
49,1,0.25,0.75,1.0,1.0,1,1.0,2
50,1,0.25,0.25,0.0,0.0,1,0.0,2
50,2,0.25,0.25,0.0,0.0,1,0.0,2
51,2,0.25,0.75,0.0,0.0,1,0.0,2
51,2,0.25,0.75,0.0,0.0,1,0.0,2
52,2,0.25,0.75,0.0,1.0,0,0.0,2
52,4,0.25,0.75,0.0,1.0,0,0.0,2
53,4,0.75,0.75,1.0,1.0,1,1.0,2
53,3,0.75,0.75,1.0,1.0,1,1.0,2
54,3,0.75,0.25,1.0,0.0,0,1.0,2
54,1,0.75,0.25,1.0,0.0,0,1.0,2
55,1,0.25,0.25,0.0,1.0,0,0.0,2
55,3,0.25,0.25,0.0,1.0,0,0.0,2
56,3,0.75,0.25,1.0,0.0,1,0.0,2
