trial,pumps,reward,max_pumps,exploded,balloon_trial,balloon_idx,run
29,0,0,8,False,7,2,3
30,0,0,128,False,10,0,3
31,2,2,32,False,12,1,3
32,6,6,32,False,13,1,3
33,0,0,128,False,11,0,3
34,0,0,128,False,12,0,3
35,0,0,128,False,13,0,3
36,6,6,32,False,14,1,3
37,0,0,8,False,8,2,3
38,1,1,8,False,9,2,3
39,2,2,8,False,10,2,3
40,1,1,128,False,14,0,3
41,2,0,8,True,11,2,3
42,5,0,8,True,12,2,3
43,1,0,8,True,13,2,3
44,5,5,8,False,14,2,3
0,0,0,128,False,0,2,4
1,3,3,128,False,1,2,4
2,2,2,32,False,0,0,4
3,1,1,8,False,0,1,4
4,2,2,32,False,1,0,4
5,8,8,128,False,2,2,4
6,0,0,128,False,3,2,4
7,1,1,128,False,4,2,4
8,4,4,32,False,2,0,4
9,5,5,32,False,3,0,4
10,2,2,8,False,1,1,4
11,1,1,32,False,4,0,4
12,4,0,8,True,2,1,4
13,0,0,128,False,5,2,4
14,1,0,8,True,3,1,4
15,1,1,128,False,6,2,4
16,3,3,128,False,7,2,4
17,4,4,8,False,4,1,4
18,0,0,8,False,5,1,4
19,2,2,128,False,8,2,4
20,5,5,32,False,5,0,4
21,0,0,32,False,6,0,4
22,1,1,8,False,6,1,4
23,0,0,128,False,9,2,4
24,1,1,128,False,10,2,4
25,6,0,8,True,7,1,4
26,5,5,128,False,11,2,4
27,1,1,8,False,8,1,4
28,1,1,32,False,7,0,4
29,1,1,32,False,8,0,4
30,3,0,32,True,9,0,4
31,1,1,8,False,9,1,4
32,0,0,32,False,10,0,4
33,4,4,32,False,11,0,4
34,0,0,8,False,10,1,4
35,2,2,128,False,12,2,4
36,1,0,8,True,11,1,4
37,3,3,128,False,13,2,4
38,2,0,8,True,12,1,4
39,0,0,8,False,13,1,4
40,1,1,32,False,12,0,4
41,0,0,32,False,13,0,4
42,4,4,128,False,14,2,4
43,2,2,32,False,14,0,4
44,2,2,8,False,14,1,4
0,1,1,32,False,0,2,5
1,3,3,32,False,1,2,5
2,6,0,8,True,0,0,5
3,1,1,128,False,0,1,5
4,2,2,32,False,2,2,5
5,2,2,128,False,1,1,5
6,0,0,8,False,1,0,5
7,0,0,8,False,2,0,5
8,1,1,8,False,3,0,5
9,2,2,8,False,4,0,5
10,0,0,32,False,3,2,5
11,2,2,128,False,2,1,5
12,0,0,32,False,4,2,5
13,2,2,32,False,5,2,5
14,0,0,8,False,5,0,5
15,1,1,128,False,3,1,5
16,2,2,8,False,6,0,5
17,6,6,128,False,4,1,5
18,2,2,128,False,5,1,5
19,0,0,128,False,6,1,5
20,5,5,32,False,6,2,5
21,1,1,8,False,7,0,5
22,2,2,8,False,8,0,5
23,2,2,8,False,9,0,5
24,1,1,128,False,7,1,5
25,4,4,128,False,8,1,5
26,0,0,32,False,7,2,5
27,2,2,8,False,10,0,5
28,0,0,8,False,11,0,5
29,0,0,128,False,9,1,5
30,0,0,32,False,8,2,5
31,1,1,32,False,9,2,5
32,2,2,8,False,12,0,5
33,3,3,128,False,10,1,5
34,0,0,32,False,10,2,5
35,3,0,8,True,13,0,5
36,1,1,8,False,14,0,5
37,3,3,128,False,11,1,5
38,2,2,32,False,11,2,5
39,2,2,32,False,12,2,5
40,3,3,32,False,13,2,5
41,0,0,32,False,14,2,5
42,1,1,128,False,12,1,5
43,0,0,128,False,13,1,5
44,3,3,128,False,14,1,5
0,0,0,8,False,0,0,6
1,2,2,8,False,1,0,6
2,2,2,32,False,0,2,6
3,2,2,32,False,1,2,6
4,3,3,128,False,0,1,6
5,2,2,32,False,2,2,6
6,4,4,128,False,1,1,6
7,1,1,128,False,2,1,6
8,0,0,32,False,3,2,6
9,0,0,32,False,4,2,6
10,2,2,128,False,3,1,6
11,2,2,8,False,2,0,6
12,0,0,8,False,3,0,6
13,1,1,128,False,4,1,6
14,1,0,8,True,4,0,6
15,1,1,128,False,5,1,6
16,2,2,8,False,5,0,6
17,2,2,32,False,5,2,6
18,2,2,8,False,6,0,6
19,0,0,128,False,6,1,6
20,0,0,8,False,7,0,6
21,1,1,32,False,6,2,6
22,0,0,32,False,7,2,6
23,0,0,32,False,8,2,6
24,0,0,8,False,8,0,6
25,3,3,8,False,9,0,6
26,3,3,128,False,7,1,6
27,0,0,8,False,10,0,6
28,5,5,32,False,9,2,6
29,3,3,32,False,10,2,6
30,0,0,8,False,11,0,6
31,2,0,8,True,12,0,6
32,1,1,32,False,11,2,6
33,0,0,32,False,12,2,6
34,1,1,32,False,13,2,6
35,1,1,32,False,14,2,6
36,1,1,8,False,13,0,6
37,0,0,8,False,14,0,6
38,0,0,128,False,8,1,6
39,1,1,128,False,9,1,6
40,1,1,128,False,10,1,6
41,2,2,128,False,11,1,6
42,1,1,128,False,12,1,6
43,0,0,128,False,13,1,6
44,3,3,128,False,14,1,6
0,2,2,32,False,0,2,7
1,1,1,8,False,0,1,7
2,1,1,32,False,1,2,7
3,1,1,128,False,0,0,7
4,0,0,128,False,1,0,7
5,0,0,32,False,2,2,7
6,0,0,128,False,2,0,7
7,0,0,8,False,1,1,7
8,3,3,32,False,3,2,7
9,0,0,8,False,2,1,7
10,5,5,128,False,3,0,7
11,3,3,128,False,4,0,7
12,2,2,32,False,4,2,7
13,6,6,32,False,5,2,7
14,2,2,128,False,5,0,7
15,1,1,8,False,3,1,7
16,0,0,128,False,6,0,7
17,0,0,8,False,4,1,7
18,0,0,8,False,5,1,7
19,4,4,8,False,6,1,7
20,1,1,32,False,6,2,7
21,1,1,128,False,7,0,7
22,4,4,32,False,7,2,7
23,1,1,32,False,8,2,7
24,1,1,32,False,9,2,7
25,3,3,128,False,8,0,7
26,1,1,8,False,7,1,7
27,4,0,8,True,8,1,7
28,2,0,8,True,9,1,7
29,2,2,8,False,10,1,7
30,2,2,32,False,10,2,7
31,0,0,32,False,11,2,7
32,3,0,32,True,12,2,7
33,2,2,128,False,9,0,7
34,1,1,32,False,13,2,7
35,3,3,128,False,10,0,7
36,1,1,8,False,11,1,7
37,0,0,8,False,12,1,7
38,3,3,128,False,11,0,7
39,0,0,8,False,13,1,7
40,0,0,8,False,14,1,7
41,1,1,128,False,12,0,7
42,1,0,32,True,14,2,7
43,0,0,128,False,13,0,7
44,3,3,128,False,14,0,7
0,2,2,32,False,0,0,8
1,6,6,128,False,0,2,8
2,3,3,8,False,0,1,8
3,7,0,8,True,1,1,8
4,2,2,8,False,2,1,8
5,0,0,32,False,1,0,8
6,6,6,128,False,1,2,8
7,6,6,128,False,2,2,8
8,1,1,128,False,3,2,8
9,4,4,128,False,4,2,8
10,0,0,32,False,2,0,8
11,2,2,32,False,3,0,8
12,3,3,128,False,5,2,8
13,0,0,128,False,6,2,8
14,1,1,8,False,3,1,8
15,1,1,32,False,4,0,8
16,7,7,128,False,7,2,8
17,3,3,128,False,8,2,8
18,2,2,128,False,9,2,8
19,1,1,128,False,10,2,8
20,2,2,8,False,4,1,8
21,4,4,32,False,5,0,8
22,1,1,8,False,5,1,8
23,1,1,32,False,6,0,8
24,1,0,8,True,6,1,8
25,5,0,32,True,7,0,8
26,0,0,8,False,7,1,8
27,3,3,8,False,8,1,8
28,0,0,8,False,9,1,8
29,5,5,32,False,8,0,8
30,0,0,8,False,10,1,8
31,5,5,128,False,11,2,8
32,1,1,32,False,9,0,8
33,0,0,128,False,12,2,8
34,3,3,128,False,13,2,8
35,0,0,32,False,10,0,8
36,1,1,8,False,11,1,8
37,0,0,128,False,14,2,8
38,1,1,32,False,11,0,8
39,0,0,8,False,12,1,8
40,1,1,32,False,12,0,8
41,0,0,8,False,13,1,8
42,3,0,32,True,13,0,8
43,1,0,8,True,14,1,8
44,4,4,32,False,14,0,8
0,0,0,32,False,0,1,9
1,4,4,128,False,0,2,9
2,2,2,32,False,1,1,9
3,0,0,8,False,0,0,9
4,8,0,8,True,1,0,9
5,0,0,128,False,1,2,9
6,5,0,8,True,2,0,9
7,1,1,32,False,2,1,9
8,1,1,32,False,3,1,9
9,2,0,8,True,3,0,9
10,0,0,128,False,2,2,9
11,2,2,128,False,3,2,9
12,3,3,32,False,4,1,9
13,8,8,128,False,4,2,9
14,3,3,32,False,5,1,9
15,6,6,128,False,5,2,9
16,0,0,8,False,4,0,9
17,2,2,128,False,6,2,9
18,1,1,128,False,7,2,9
19,2,2,32,False,6,1,9
20,3,3,8,False,5,0,9
21,6,0,8,True,6,0,9
22,1,1,8,False,7,0,9
23,3,3,128,False,8,2,9
24,0,0,128,False,9,2,9
25,2,2,32,False,7,1,9
26,1,1,8,False,8,0,9
27,1,1,32,False,8,1,9
28,0,0,32,False,9,1,9
29,5,5,8,False,9,0,9
30,0,0,32,False,10,1,9
31,1,1,8,False,10,0,9
32,3,3,128,False,10,2,9
33,0,0,32,False,11,1,9
34,1,1,32,False,12,1,9
35,2,2,8,False,11,0,9
36,0,0,8,False,12,0,9
37,0,0,8,False,13,0,9
38,0,0,128,False,11,2,9
39,6,6,128,False,12,2,9
40,1,1,128,False,13,2,9
41,0,0,128,False,14,2,9
42,0,0,8,False,14,0,9
43,2,2,32,False,13,1,9
44,1,1,32,False,14,1,9
